,city,openings,lat,long
117,"Green Bay, WI",2,44.5133188,-88.0132958
118,"Melville, NY",2,40.7934322,-73.41512139999999
119,"Edison, NJ",2,40.5187154,-74.4120953
120,"Chantilly, VA",2,38.8942786,-77.43109919999999
121,"Boca Raton, FL",2,26.3683064,-80.1289321
122,"San Luis Obispo, CA",2,35.2827524,-120.6596156
123,"San Antonio, TX",2,29.4241219,-98.49362819999999
124,"Secaucus, NJ",2,40.7895453,-74.05652979999999
125,"Colorado Springs, CO",2,38.8338816,-104.8213634
126,"Longmont, CO",2,40.1672068,-105.1019275
127,"Charlottesville, VA",2,38.0293059,-78.47667810000002
128,"Lombard, IL",2,41.8800296,-88.00784349999999
129,"Manassas, VA",2,38.7509488,-77.47526669999999
130,"Costa Mesa, CA",2,33.6412156,-117.9188221
131,"Poway, CA",2,32.9628232,-117.0358646
132,"Vienna, VA",2,38.9012225,-77.2652604
133,"Louisville, KY",2,38.2526647,-85.7584557
134,"Aliso Viejo, CA",1,33.5684605,-117.7262981
135,"East Hartford, CT",1,41.7634219,-72.6128339
136,"Portsmouth, NH",1,43.0717552,-70.7625532
137,"Los Alamos, NM",1,35.8800364,-106.3031138
138,"Johnston, IA",1,41.6709834,-93.7130493
139,"Spring, TX",1,30.0799405,-95.41716009999999
140,"Nashville, TN",1,36.1626638,-86.7816016
141,"Santa Rosa, CA",1,38.440429,-122.7140548
142,"Charleston, SC",1,32.7764749,-79.93105120000001
143,"Eagan, MN",1,44.8041322,-93.1668858
144,"Burlingame, CA",1,37.5778696,-122.34809
145,"Mason, OH",1,39.3600586,-84.309939
146,"Ambler, PA",1,40.1545535,-75.22156509999999
147,"Needham, MA",1,42.2809285,-71.23775479999999
148,"Troy, NY",1,42.7284117,-73.69178509999999
149,"Aurora, CO",1,39.7294319,-104.8319195
150,"Schaumburg, IL",1,42.0333607,-88.0834059
151,"Southfield, MI",1,42.4733688,-83.2218731
152,"Pearland, TX",1,29.5635666,-95.2860474
153,"Glen Mills, PA",1,39.9016273,-75.5103484
154,"Ronkonkoma, NY",1,40.80641869999999,-73.1241488
155,"Tampa, FL",1,27.950575,-82.4571776
156,"Traverse City, MI",1,44.7630567,-85.62063169999999
157,"umbc campus, MD",1,39.2556759,-76.7109674
158,"Midland, TX",1,31.9973456,-102.0779146
159,"Moses, WA",1,47.1301417,-119.2780771
160,"Silver Spring, MD",1,38.99066570000001,-77.026088
161,"Winston-Salem, NC",1,36.09985959999999,-80.244216
162,"Chico, CA",1,39.7284944,-121.8374777
163,"O'Fallon, MO",1,38.8106075,-90.69984769999999
164,"Lenexa, KS",1,38.9536174,-94.73357089999999
165,"Ithaca, NY",1,42.4439614,-76.5018807
166,"Newark, CA",1,37.5296593,-122.0402399
167,"Knoxville, TN",1,35.9606384,-83.9207392
168,"Naperville, IL",1,41.7508391,-88.1535352
169,"Hillsboro, OR",1,45.5200114,-122.9365835
170,"Fort Collins, CO",1,40.5852602,-105.084423
171,"Providence, RI",1,41.8239891,-71.4128343
172,"Champaign, IL",1,40.1164204,-88.2433829
173,"Omaha, NE",1,41.2565369,-95.9345034
174,"Woodland Hills, CA",1,34.165357,-118.6089752
175,"Stillwater, OK",1,36.1156071,-97.0583681
176,"Memphis, TN",1,35.1495343,-90.0489801
177,"Vancouver, WA",1,45.6272259,-122.6727305
178,"Lake Forest, IL",1,42.2586342,-87.840625
179,"Cedar Rapids, IA",1,41.9778795,-91.6656232
180,"Titusville, NJ",1,40.309579,-74.8770282
181,"Endwell, NY",1,42.1128525,-76.021034
182,"Leesburg, VA",1,39.1156615,-77.56360149999999
183,"Akron, OH",1,41.0814447,-81.51900529999999
184,"Linthicum Heights, MD",1,39.2051077,-76.6527456
185,"South Amboy, NJ",1,40.4778838,-74.290702
186,"Dodgeville, WI",1,42.96027429999999,-90.1301237
187,"Research Triangle Park, NC",1,35.8991678,-78.86364019999999
188,"Middleton, WI",1,43.09721740000001,-89.5042876
189,"Orange, CA",1,33.7879139,-117.8531007
190,"Gaithersburg, MD",1,39.1434406,-77.2013705
191,"Northampton, MA",1,42.3250896,-72.64120129999999
192,"Kansas City, MO",1,39.0997265,-94.5785667
193,"Bolingbrook, IL",1,41.69864159999999,-88.0683955
194,"Rochester, NY",1,43.15657789999999,-77.6088465
195,"Richland, WA",1,46.28042000000001,-119.2751996
196,"Missouri City, TX",1,29.6185669,-95.5377215
197,"South Portland, ME",1,43.6414716,-70.2408811
198,"Hershey, PA",1,40.2859239,-76.65024679999999
199,"Teaneck, NJ",1,40.8932469,-74.0116536
200,"Rahway, NJ",1,40.60815909999999,-74.2776468
201,"Hillsborough, NC",1,36.0754183,-79.0997347
202,"San Carlos, CA",1,37.5071591,-122.2605222
203,"Chesapeake, VA",1,36.7682088,-76.2874927
204,"New Brunswick, NJ",1,40.4862157,-74.4518188
205,"Hercules, CA",1,38.0171441,-122.2885808
206,"Bannockburn, IL",1,42.1933581,-87.8664579
207,"Fort Huachuca, AZ",1,31.5552157,-110.3499216
208,"Somerville, MA",1,42.3875968,-71.0994968
209,"Cincinnati, OH",1,39.1031182,-84.5120196
