1,New York-Newark-Jersey City, NY-NJ-PA,19949502,19567410,1.95,0 to 5,40.7127837,-74.00594130000002
2,Los Angeles-Long Beach-Anaheim, CA,13131431,12828837,2.36,0 to 5,34.0522342,-118.2436849
3,Chicago-Naperville-Elgin, IL-IN-WI,9537289 9461105 0.8099999999999999,0 to 5,41.8781136,-87.62979819999998
4,Dallas-Fort Worth-Arlington, TX 6810913 6426214 5.99,5 to 10 32.7801399,-96.80045109999998
5,Houston-The Woodlands-Sugar Land, TX,6313158 5920416 6.63,5 to 10 29.7601927,-95.36938959999998
6,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD 6034678 5965343 1.16,0 to 5,39.952335,-75.16378900000001
7,Washington-Arlington-Alexandria, DC-VA-MD-WV,5949859 5636232 5.56,5 to 10 38.9071923,-77.03687070000001
8,Miami-Fort Lauderdale-West Palm Beach, FL,5828191 5564635 4.74,0 to 5,25.7890972,-80.20404350000001
9,Atlanta-Sandy Springs-Roswell, GA,5522942 5286728 4.47,0 to 5,33.7489954,-84.3879824
10,Boston-Cambridge-Newton, MA-NH,4684299 4552402 2.9000000000000004,0 to 5,42.3584308,-71.0597732
11,San FranciscoOaklandHayward, CA,4516276 4335391 4.17,0 to 5,37.7749295,-122.41941550000001
12,Phoenix-Mesa-Scottsdale, AZ 4398762 4192887 4.91,0 to 5,33.4483771,-112.07403729999999
13,Riverside-San Bernardino-Ontario, CA,4380878 4224851 3.6900000000000004,0 to 5,33.9533487,-117.3961564
14,Detroit-Warren-Dearborn, MI 4294983 4296250 -0.03,-5 to 0 42.331427,-83.0457538
15,Seattle-Tacoma-Bellevue, WA 3610105 3439809 4.95,0 to 5,47.6062095,-122.3320708
16,Minneapolis-St. Paul-Bloomington, MN-WI 3459146 3348859 3.29,0 to 5,44.983334,-93.26666999999998
17,San Diego-Carlsbad, CA,3211252 3095313 3.75,0 to 5,32.715738,-117.16108380000003
18,Tampa-St. Petersburg-Clearwater, FL 2870569 2783243 3.1399999999999997,0 to 5,27.950575,-82.45717760000002
19,St. Louis, MO-IL,2810056 2787701 0.8 0 to 5,38.6270025,-90.1994042
20,Baltimore-Columbia-Towson, MD,2770738 2710489 2.22,0 to 5,39.2903848,-76.61218930000001
21,Denver-Aurora-Lakewood, CO,2697476 2543482 6.05,5 to 10 39.737567,-104.98471790000002
22,Pittsburgh, PA,2360867 2356285 0.19,0 to 5,40.44062479999999,-79.99588640000002
23,Charlotte-Concord-Gastonia, NC-SC,2335358 2217012 5.34,5 to 10 35.2270869,-80.84312669999997
24,Portland-Vancouver-Hillsboro, OR-WA 2314554 2226009 3.9800000000000004,0 to 5,45.5234515,-122.6762071
25,San Antonio-New Braunfels, TX,2277550 2142508 6.3 5 to 10 29.4241219,-98.49362819999999
26,Orlando-Kissimmee-Sanford, FL,2267846 2134411 6.25,5 to 10 28.5383355,-81.37923649999999
27,SacramentoRosevilleArden-Arcade, CA,2215770 2149127 3.1 0 to 5,38.5815719,-121.49439960000001
28,Cincinnati, OH-KY-IN,2137406 2114580 1.08,0 to 5,39.1031182,-84.51201960000003
29,Cleveland-Elyria, OH,2064725 2077240 -0.6,-5 to 0 41.49932,-81.69436050000002
30,Kansas City, MO-KS,2054473 2009342 2.25,0 to 5,39.0997265,-94.57856670000001
31,Las Vegas-Henderson-Paradise, NV,2027868 1951269 3.93,0 to 5,36.1699412,-115.13982959999998
32,Columbus, OH,1967066 1901974 3.42,0 to 5,39.9611755,-82.99879420000002
33,Indianapolis-Carmel-Anderson, IN,1953961 1887877 3.5000000000000004,0 to 5,39.768403,-86.15806800000001
34,San Jose-Sunnyvale-Santa Clara, CA,1919641 1836911 4.5 0 to 5,37.3393857,-121.89495549999998
35,Austin-Round Rock, TX,1883051 1716289 9.719999999999999,5 to 10 30.267153,-97.74306079999997
36,Nashville-DavidsonMurfreesboroFranklin, TN,1757912 1670890 5.21,5 to 10 36.166667,-86.78333299999997
37,Virginia Beach-Norfolk-Newport News, VA-NC,1707369 1676822 1.82,0 to 5,36.8529263,-75.97798499999999
38,Providence-Warwick, RI-MA,1604291 1600852 0.21,0 to 5,41.8239891,-71.41283429999999
39,Milwaukee-Waukesha-West Allis, WI,1569659 1555908 0.88,0 to 5,43.0389025,-87.90647360000003
40,Jacksonville, FL,1394624 1345596 3.64,0 to 5,30.3321838,-81.65565099999998
41,Memphis, TN-MS-AR,1341746 1324829 1.28,0 to 5,35.1495343,-90.0489801
42,Oklahoma City, OK,1319677 1252987 5.319999999999999,5 to 10 35.4675602,-97.51642759999999
43,Louisville/Jefferson County, KY-IN,1262261 1235708 2.15,0 to 5,38.2526647,-85.75845570000001
44,Richmond, VA,1245764 1208101 3.1199999999999997,0 to 5,37.5407246,-77.4360481
45,New Orleans-Metairie, LA,1240977 1189866 4.3 0 to 5,29.95106579999999,-90.0715323
46,Hartford-West Hartford-East Hartford, CT,1215211 1212381 0.22999999999999998 0 to 5,41.76371109999999,-72.68509319999998
47,Raleigh, NC 1214516 1130490 7.430000000000001,5 to 10 35.7795897,-78.63817870000003
48,Salt Lake City, UT,1140483 1087873 4.84,0 to 5,40.7607793,-111.89104739999999
49,Birmingham-Hoover, AL,1140300 1128047 1.09,0 to 5,33.5206608,-86.80248999999998
50,Buffalo-Cheektowaga-Niagara Falls, NY,1134155 1135509 -0.12,-5 to 0 42.88644679999999,-78.8783689
51,Rochester, NY,1083278 1079671 0.33,0 to 5,43.16103,-77.6109219
52,Grand Rapids-Wyoming, MI,1016603 988938,2.8000000000000003,0 to 5,42.9633599,-85.66808630000003
53,Tucson, AZ,996544,980263,1.66,0 to 5,32.2217429,-110.92647899999997
54,Urban Honolulu, HI,983429,953207,3.17,0 to 5,21.3008204,-157.8626016
55,Tulsa, OK,961561,937478,2.5700000000000003,0 to 5,36.1539816,-95.992775
56,Fresno, CA,955272,930450,2.67,0 to 5,36.7468422,-119.7725868
57,Bridgeport-Stamford-Norwalk, CT 939904,916829,2.52,0 to 5,41.1865478,-73.19517669999999
58,Worcester, MA-CT,926710,916980,1.06,0 to 5,42.2625932,-71.8022934
59,Albuquerque, NM 902797,887077,1.77,0 to 5,35.110703,-106.60999099999998
60,Omaha-Council Bluffs, NE-IA 895151,865350,3.44,0 to 5,41.2523634,-95.99798829999997
61,Albany-Schenectady-Troy, NY 877905,870716,0.83,0 to 5,42.6525793,-73.7562317
62,Bakersfield, CA 864124,839631,2.92,0 to 5,35.3732921,-119.01871249999999
63,New Haven-Milford, CT,862287,862477,-0.02,-5 to 0 41.308274,-72.92788350000001
64,Knoxville, TN,852715,837571,1.81,0 to 5,35.9606384,-83.92073920000001
65,Greenville-Anderson-Mauldin, SC 850965,824112,3.26,0 to 5,34.85261759999999,-82.39401040000001
66,Oxnard-Thousand Oaks-Ventura, CA,839620,823318,1.9800000000000002,0 to 5,34.1975048,-119.17705160000003
67,El Paso, TX 831036,804123,3.35,0 to 5,31.7775757,-106.44245590000003
68,Allentown-Bethlehem-Easton, PA-NJ,827048,821173,0.72,0 to 5,40.6084305,-75.49018330000001
69,Baton Rouge, LA 820159,802484,2.1999999999999997,0 to 5,30.4582829,-91.1403196
70,McAllen-Edinburg-Mission, TX,815996,774769,5.319999999999999,5 to 10 26.2034071,-98.23001239999996
71,Dayton, OH,802489,799232,0.41000000000000003 0 to 5,39.7589478,-84.19160690000001
72,Columbia, SC,793779,767598,3.4099999999999997,0 to 5,34.0007104,-81.03481440000002
73,Greensboro-High Point, NC,741065,723801,2.39,0 to 5,36.0726354,-79.79197540000001
74,North Port-Sarasota-Bradenton, FL,732535,702281,4.31,0 to 5,27.044224,-82.23592539999999
75,Little Rock-North Little Rock-Conway, AR,724385,699757,3.52,0 to 5,34.7464809,-92.28959479999997
76,Charleston-North Charleston, SC 712220,664607,7.16,5 to 10 32.7764749,-79.93105120000001
77,Akron, OH,705686,703200,0.35000000000000003 0 to 5,41.0814447,-81.5190053
78,Stockton-Lodi, CA,704379,685306,2.78,0 to 5,37.9577016,-121.29077960000001
79,Colorado Springs, CO,678319,645613,5.07,5 to 10 38.8338816,-104.8213634
80,Syracuse, NY,661934,662577,-0.1,-5 to 0 43.0481221,-76.14742439999998
81,Cape Coral-Fort Myers, FL,661115,618754,6.8500000000000005,5 to 10 26.5628537,-81.9495331
82,Winston-Salem, NC,650820,640595,1.6 0 to 5,36.1039642,-80.254435
83,Boise City, ID,650288,616561,5.47,5 to 10 43.6187102,-116.21460680000001
84,Wichita, KS 637394,630919,1.03,0 to 5,37.688889,-97.33611100000002
85,Madison, WI 627431,605435,3.63,0 to 5,43.0730517,-89.40123019999999
86,Springfield, MA 626915,621570,0.86,0 to 5,42.1014831,-72.589811
87,Lakeland-Winter Haven, FL,623009,602095,3.47,0 to 5,28.0394654,-81.94980420000002
88,Ogden-Clearfield, UT,621580,597159,4.09,0 to 5,41.223,-111.9738304
89,Toledo, OH,608145,610001,-0.3,-5 to 0 41.6639383,-83.55521199999998
90,Deltona-Daytona Beach-Ormond Beach, FL,600756,590289,1.77,0 to 5,28.9005446,-81.26367379999999
91,Des Moines-West Des Moines, IA,599789,569633,5.29,5 to 10 41.6005448,-93.60910639999997
92,Augusta-Richmond County, GA-SC,580270,564873,2.73,0 to 5,33.4734978,-82.01051480000001
93,Jackson, MS 576382,567122,1.63,0 to 5,32.2987573,-90.18481029999998
94,Provo-Orem, UT,562239,526810,6.7299999999999995,5 to 10 40.2338438,-111.65853370000002
95,ScrantonWilkes-BarreHazleton, PA,562037,563631,-0.27999999999999997,-5 to 0 41.408969,-75.6624122
96,Harrisburg-Carlisle, PA 557711,549475,1.5 0 to 5,40.2731911,-76.88670079999997
97,Youngstown-Warren-Boardman, OH-PA,555506,565773,-1.81,-5 to 0 41.0997803,-80.64951940000003
98,Palm Bay-Melbourne-Titusville, FL,550823,543376,1.37,0 to 5,28.0344621,-80.58866460000002
99,Chattanooga, TN-GA,541744,528143,2.58,0 to 5,35.0456297,-85.30968009999998
100 Spokane-Spokane Valley, WA,535724,527753,1.51,0 to 5,47.6587802,-117.4260466
101 Durham-Chapel Hill, NC,534578,504357,5.99,5 to 10 35.9940329,-78.898619
102 Lancaster, PA,529600,519445,1.95,0 to 5,40.0378755,-76.30551439999999
103 Modesto, CA 525491,514453,2.15,0 to 5,37.63909719999999,-120.99687819999997
104 Portland-South Portland, ME 519900,514098,1.13,0 to 5,43.66147100000001,-70.2553259
105 Santa Rosa, CA,495025,483878,2.3 0 to 5,38.440429,-122.71405479999999
106 Fayetteville-Springdale-Rogers, AR-MO,491966,463204,6.21,5 to 10 36.0625795,-94.1574263
107 Lexington-Fayette, KY,489435,472099,3.6700000000000004,0 to 5,38.0405837,-84.50371640000003
108 Lafayette, LA,479116,466750,2.65,0 to 5,30.2240897,-92.01984270000003
109 Lansing-East Lansing, MI,467321,464036,0.7100000000000001,0 to 5,42.732535,-84.55553470000001
