,city,openings,lat,long,g_metro,state_1
91,"Columbia, MD",2,39.2037144,-76.86104619999999,Maryland,MD
92,"Edison, NJ",2,40.5187154,-74.4120953,New Jersey,NJ
93,"Culver City, CA",2,34.0211224,-118.3964665,California,CA
94,"Basking Ridge, NJ",2,40.7066174,-74.5493284,Harding Township,NJ
95,"Malvern, PA",2,40.0362184,-75.5138118,Pennsylvania,PA
96,"Mountain View, OR",2,42.1120831,-122.3841882,Oregon,OR
97,"Vienna, VA",2,38.9012225,-77.2652604,Fairfax County,VA
98,"Waltham, MA",2,42.3764852,-71.2356113,Massachusetts,MA
99,"Golden, CO",2,39.755543,-105.2210997,Colorado,CO
100,"Berkeley, CA",2,37.8715926,-122.272747,California,CA
101,"Tarrytown, NY",2,41.0762077,-73.85874609999999,Westchester County,NY
102,"Secaucus, NJ",2,40.7895453,-74.05652979999999,New Jersey,NJ
103,"Alpharetta, GA",2,34.0753762,-84.2940899,Georgia,GA
104,"Poway, CA",2,32.9628232,-117.0358646,California,CA
105,"Stanford, CA",2,37.42410599999999,-122.1660756,California,CA
106,"Colorado Springs, CO",2,38.8338816,-104.8213634,Colorado,CO
107,"North Salt Lake, UT",2,40.8485564,-111.9068824,Utah,UT
108,"Brooklyn, NY",2,40.6781784,-73.9441579,New York,NY
109,"Raleigh-Durham, NC",2,35.8991678,-78.86364019999999,Triangle,NC
110,"House, NM",2,34.6467327,-103.904411,New Mexico,NM
111,"Charlottesville, VA",2,38.0293059,-78.47667810000002,Virginia,VA
112,"Ann Arbor, MI",2,42.2808256,-83.7430378,Michigan,MI
113,"Round Lake, IL",2,42.353355,-88.0934145,Illinois,IL
114,"Newport Beach, CA",2,33.6188829,-117.9298493,California,CA
115,"High Point, NC",2,35.9556923,-80.0053176,North Carolina,NC
116,"Boise, ID",2,43.6150186,-116.2023137,Idaho,ID
117,"Alexandria, VA",2,38.8048355,-77.0469214,Virginia,VA
118,"Bozeman, MT",2,45.6769979,-111.0429339,Montana,MT
119,"Wichita, KS",2,37.68717609999999,-97.33005299999999,Kansas,KS
120,"Stamford, CT",2,41.0534302,-73.5387341,Connecticut,CT
121,"Morrisville, NC",2,35.823483,-78.8255621,Wake County,NC
122,"Boca Raton, FL",2,26.3683064,-80.1289321,Florida,FL
123,"San Luis Obispo, CA",2,35.2827524,-120.6596156,California,CA
124,"Louisville, KY",2,38.2526647,-85.7584557,Kentucky,KY
125,"Costa Mesa, CA",2,33.6412156,-117.9188221,California,CA
126,"Rocky Hill, CT",2,41.6572525,-72.66557569999999,Connecticut,CT
127,"Williamsburg, VA",2,37.2707022,-76.7074571,United States,VA
128,"Montpelier, VT",2,44.26005929999999,-72.5753869,Vermont,VT
129,"Albany, NY",2,42.6525793,-73.7562317,New York,NY
130,"Chantilly, VA",2,38.8942786,-77.43109919999999,Fairfax County,VA
131,"Minneapolis, MN",2,44.977753,-93.2650108,Minnesota,MN
132,"Santa Monica, CA",2,34.0194543,-118.4911912,California,CA
133,"Melville, NY",2,40.7934322,-73.41512139999999,Suffolk County,NY
134,"Fort Collins, CO",1,40.5852602,-105.084423,Colorado,CO
135,"Fort Huachuca, AZ",1,31.5552157,-110.3499216,Cochise County,AZ
136,"Dublin, CA",1,37.7021521,-121.9357918,California,CA
137,"Teaneck, NJ",1,40.8932469,-74.0116536,New Jersey,NJ
138,"O'Fallon, MO",1,38.8106075,-90.69984769999999,Missouri,MO
139,"Silver Spring, MD",1,38.99066570000001,-77.026088,Montgomery County,MD
140,"Dodgeville, WI",1,42.96027429999999,-90.1301237,Iowa County,WI
141,"Linthicum Heights, MD",1,39.2051077,-76.6527456,Anne Arundel County,MD
142,"Stillwater, OK",1,36.1156071,-97.0583681,Oklahoma,OK
143,"Tampa, FL",1,27.950575,-82.4571776,Florida,FL
144,"Richland, WA",1,46.28042000000001,-119.2751996,Washington,WA
145,"Endwell, NY",1,42.1128525,-76.021034,Broome County,NY
146,"Stony Brook, NY",1,40.9256538,-73.1409429,Suffolk County,NY
147,"Detroit, MI",1,42.331427,-83.0457538,Michigan,MI
148,"Troy, NY",1,42.7284117,-73.69178509999999,New York,NY
149,"Cedar Rapids, IA",1,41.9778795,-91.6656232,Iowa,IA
150,"Kirkland, WA",1,47.6768927,-122.2059833,Washington,WA
151,"Northampton, MA",1,42.3250896,-72.64120129999999,Massachusetts,MA
152,"Rahway, NJ",1,40.60815909999999,-74.2776468,New Jersey,NJ
153,"Dublin, OH",1,40.0992294,-83.1140771,Ohio,OH
154,"Kalamazoo, MI",1,42.2917069,-85.5872286,Michigan,MI
155,"East Hartford, CT",1,41.7634219,-72.6128339,Hartford County,CT
156,"Venice, CA",1,33.9850469,-118.4694832,Los Angeles County,CA
157,"Minnetonka, MN",1,44.9211836,-93.4687489,Minnesota,MN
158,"Portsmouth, NH",1,43.0717552,-70.7625532,Rockingham County,NH
159,"Des Moines, IA",1,41.5868353,-93.6249593,Iowa,IA
160,"Gray Summit, MO",1,38.489775,-90.8168008,Franklin County,MO
161,"Hershey, PA",1,40.2859239,-76.65024679999999,Dauphin County,PA
162,"umbc campus, MD",1,39.2556759,-76.7109674,Baltimore,MD
163,"Eagan, MN",1,44.8041322,-93.1668858,Minnesota,MN
164,"Whitehall, MI",1,43.4100107,-86.34867919999999,Muskegon County,MI
165,"Spring House, PA",1,40.1853862,-75.2276756,Montgomery County,PA
166,"Ellicott City, MD",1,39.2673283,-76.7983067,Maryland,MD
167,"Manhattan, NY",1,40.7830603,-73.9712488,New York County,NY
168,"Memphis, TN",1,35.1495343,-90.0489801,Tennessee,TN
169,"Hillsboro, OR",1,45.5200114,-122.9365835,Oregon,OR
170,"South Plainfield, NJ",1,40.5792701,-74.4115401,New Jersey,NJ
171,"Buena Park, CA",1,33.8674044,-117.9981387,California,CA
172,"Newark, CA",1,37.5296593,-122.0402399,California,CA
173,"Aliso Viejo, CA",1,33.5684605,-117.7262981,California,CA
174,"Santa Fe, NM",1,35.6869752,-105.937799,New Mexico,NM
175,"Bedford, NH",1,42.9463291,-71.51320079999999,New Hampshire,NH
176,"Needham, MA",1,42.2809285,-71.23775479999999,Norfolk County,MA
177,"Bannockburn, IL",1,42.1933581,-87.8664579,Lake County,IL
